#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 19 59 00 2 5465.517
2011 03 11 19 58 00 2 5465.527
2011 03 11 19 57 00 2 5465.541
2011 03 11 19 56 00 2 5465.556
2011 03 11 19 55 00 2 5465.543
2011 03 11 19 54 00 2 5465.533
2011 03 11 19 53 00 2 5465.534
2011 03 11 19 52 00 2 5465.519
2011 03 11 19 51 00 2 5465.507
2011 03 11 19 50 00 2 5465.497
2011 03 11 19 49 00 2 5465.517
2011 03 11 19 48 00 2 5465.535
2011 03 11 19 47 00 2 5465.507
2011 03 11 19 46 00 2 5465.505
2011 03 11 19 45 00 2 5465.517
2011 03 11 19 45 00 1 9999.000
2011 03 11 19 44 00 2 5465.527
2011 03 11 19 43 00 2 5465.554
2011 03 11 19 42 00 2 5465.549
2011 03 11 19 41 00 2 5465.540
2011 03 11 19 40 00 2 5465.546
2011 03 11 19 39 00 2 5465.560
2011 03 11 19 38 00 2 5465.563
2011 03 11 19 37 00 2 5465.565
2011 03 11 19 36 00 2 5465.571
2011 03 11 19 35 00 2 5465.575
2011 03 11 19 34 00 2 5465.581
2011 03 11 19 33 00 2 5465.581
2011 03 11 19 32 00 2 5465.589
2011 03 11 19 31 00 2 5465.593
2011 03 11 19 30 00 2 5465.594
2011 03 11 19 30 00 1 9999.000
2011 03 11 19 29 00 2 5465.595
2011 03 11 19 28 00 2 5465.588
2011 03 11 19 27 00 2 5465.577
2011 03 11 19 26 00 2 5465.572
2011 03 11 19 25 00 2 5465.595
2011 03 11 19 24 00 2 5465.612
2011 03 11 19 23 00 2 5465.591
2011 03 11 19 22 00 2 5465.588
2011 03 11 19 21 00 2 5465.583
2011 03 11 19 20 00 2 5465.583
2011 03 11 19 19 00 2 5465.584
2011 03 11 19 18 00 2 5465.590
2011 03 11 19 17 00 2 5465.607
2011 03 11 19 16 00 2 5465.619
2011 03 11 19 15 00 2 5465.626
2011 03 11 19 15 00 1 9999.000
2011 03 11 19 14 00 2 5465.625
2011 03 11 19 13 00 2 5465.617
2011 03 11 19 12 00 2 5465.613
2011 03 11 19 11 00 2 5465.614
2011 03 11 19 10 00 2 5465.614
2011 03 11 19 09 00 2 5465.623
2011 03 11 19 08 00 2 5465.638
2011 03 11 19 07 00 2 5465.644
2011 03 11 19 06 00 2 5465.645
2011 03 11 19 05 00 2 5465.650
2011 03 11 19 04 00 2 5465.635
2011 03 11 19 03 00 2 5465.625
2011 03 11 19 02 00 2 5465.618
2011 03 11 19 01 00 2 5465.616
2011 03 11 19 00 00 2 5465.619
2011 03 11 19 00 00 1 9999.000
2011 03 11 18 59 00 2 5465.620
2011 03 11 18 58 00 2 5465.621
2011 03 11 18 57 00 2 5465.625
2011 03 11 18 56 00 2 5465.634
2011 03 11 18 55 00 2 5465.651
2011 03 11 18 54 00 2 5465.659
2011 03 11 18 53 00 2 5465.637
2011 03 11 18 52 00 2 5465.608
2011 03 11 18 51 00 2 5465.610
2011 03 11 18 50 00 2 5465.625
2011 03 11 18 49 00 2 5465.608
2011 03 11 18 48 00 2 5465.619
2011 03 11 18 47 00 2 5465.622
2011 03 11 18 46 00 2 5465.630
2011 03 11 18 45 00 2 5465.657
2011 03 11 18 45 00 1 9999.000
2011 03 11 18 44 00 2 5465.649
2011 03 11 18 43 00 2 5465.632
2011 03 11 18 42 00 2 5465.618
2011 03 11 18 41 00 2 5465.624
2011 03 11 18 40 00 2 5465.649
2011 03 11 18 39 00 2 5465.665
2011 03 11 18 38 00 2 5465.667
2011 03 11 18 37 00 2 5465.673
2011 03 11 18 36 00 2 5465.665
2011 03 11 18 35 00 2 5465.667
2011 03 11 18 34 00 2 5465.647
2011 03 11 18 33 00 2 5465.657
