Model Comment
Strike: 202.00 Dip: 12.00 HypocenterDepth: 25.95
RuptureSpeed: 0.00
nx: 40 xMin: -0.00 xMax: 600.00
ny: 14 yMin: -0.00 yMax: 210.00
MomentScaleFactor: 1.0e19 N-m
minMoment: 0.000 maxMoment: 31.910
TotalMoment: 3635.947 Mw: 8.98
minDelayTime: 0.000 maxDelayTime: 0.000
nTimeStepsPerSubFault: 1 BasisTFtnDuration: 0.00
Trupture(s) X Y Lon Lat Depth Mo(DS) Mo(SS) Mo(total) Rake Duration(s)
113.2 -180.00 120.00   144.400   39.400    1.0    5.466    0.478    5.487    85  40.0
108.3 -165.00 120.00   144.335   39.275    1.0    4.213    0.369    4.229    85  40.0
103.5 -150.00 120.00   144.270   39.150    1.0    2.728    0.239    2.738    85  40.0
 98.9 -135.00 120.00   144.205   39.025    1.0    2.171    0.190    2.179    85  40.0
 94.5 -120.00 120.00   144.140   38.899    1.0    1.748    0.153    1.755    85  40.0
 90.4 -105.00 120.00   144.076   38.774    1.0    1.376    0.120    1.381    85  40.0
 86.7 -90.00 120.00   144.012   38.649    1.0    3.090    0.270    3.102    85  40.0
 83.3 -75.00 120.00   143.948   38.524    1.0    4.952    0.433    4.971    85  40.0
 80.3 -60.00 120.00   143.884   38.398    1.0    7.843    0.686    7.873    85  40.0
 77.9 -45.00 120.00   143.821   38.273    1.0   10.821    0.947   10.863    85  40.0
 76.1 -30.00 120.00   143.757   38.147    1.0   13.264    1.160   13.314    85  40.0
 75.0 -15.00 120.00   143.694   38.022    1.0   13.752    1.203   13.804    85  36.0
 74.7   0.00 120.00   143.632   37.897    1.0   13.743    1.202   13.795    85  20.0
 75.0  15.00 120.00   143.569   37.771    1.0   12.385    1.084   12.432    85  20.0
 76.1  30.00 120.00   143.507   37.645    1.0    9.821    0.859    9.859    85  20.0
 77.9  45.00 120.00   143.444   37.520    1.0    8.479    0.742    8.512    85  20.0
 80.3  60.00 120.00   143.382   37.394    1.0    6.175    0.540    6.199    85  20.0
 83.3  75.00 120.00   143.321   37.269    1.0    4.319    0.378    4.336    85  36.0
 86.7  90.00 120.00   143.259   37.143    1.0    2.969    0.260    2.980    85  40.0
 90.4 105.00 120.00   143.198   37.017    1.0    1.935    0.169    1.942    85  40.0
 94.5 120.00 120.00   143.137   36.892    1.0    0.683    0.060    0.686    85  40.0
 98.9 135.00 120.00   143.076   36.766    1.0    0.009    0.001    0.009    85  40.0
103.5 150.00 120.00   143.015   36.640    1.0    0.009    0.001    0.009    85  40.0
108.3 165.00 120.00   142.954   36.514    1.0    0.009    0.001    0.009    85  40.0
113.2 180.00 120.00   142.894   36.388    1.0    0.008    0.001    0.008    85  40.0
118.3 195.00 120.00   142.834   36.262    1.0    0.008    0.001    0.008    85  40.0
123.4 210.00 120.00   142.774   36.136    1.0    0.010    0.001    0.011    85  40.0
128.7 225.00 120.00   142.714   36.011    1.0    0.506    0.044    0.508    85  40.0
134.0 240.00 120.00   142.655   35.885    1.0    0.919    0.080    0.922    85  40.0
139.4 255.00 120.00   142.595   35.759    1.0    1.087    0.095    1.091    85  40.0
